 16%|█████████████████████████▊                                                                                                                                        | 319/2000 [11:29<59:53,  2.14s/it]
Epoch 1630, Loss: 18.5499, Recon Loss: 8.0086, KLD Loss: 10.5412, Val Loss: 27.9657
Epoch 1640, Loss: 19.3909, Recon Loss: 8.7174, KLD Loss: 10.6735, Val Loss: 28.5410
Epoch 1650, Loss: 18.8948, Recon Loss: 8.0336, KLD Loss: 10.8612, Val Loss: 28.5782
Epoch 1660, Loss: 19.3770, Recon Loss: 8.8533, KLD Loss: 10.5237, Val Loss: 28.9254
Epoch 1670, Loss: 18.7003, Recon Loss: 8.1639, KLD Loss: 10.5363, Val Loss: 28.7424
Epoch 1680, Loss: 21.5818, Recon Loss: 10.9434, KLD Loss: 10.6384, Val Loss: 28.3735
Epoch 1690, Loss: 20.0854, Recon Loss: 9.7122, KLD Loss: 10.3732, Val Loss: 30.8606
Epoch 1700, Loss: 19.0141, Recon Loss: 8.4006, KLD Loss: 10.6135, Val Loss: 27.6968
Epoch 1710, Loss: 18.9555, Recon Loss: 8.3144, KLD Loss: 10.6412, Val Loss: 27.4323
Epoch 1720, Loss: 19.0036, Recon Loss: 8.5996, KLD Loss: 10.4041, Val Loss: 28.5866
Epoch 1730, Loss: 18.7622, Recon Loss: 8.3367, KLD Loss: 10.4255, Val Loss: 28.4159
Epoch 1740, Loss: 18.6217, Recon Loss: 7.9838, KLD Loss: 10.6378, Val Loss: 28.7671
Epoch 1750, Loss: 19.9234, Recon Loss: 9.6111, KLD Loss: 10.3123, Val Loss: 32.6864
Epoch 1760, Loss: 18.9357, Recon Loss: 8.4266, KLD Loss: 10.5091, Val Loss: 28.7173
Epoch 1770, Loss: 41.8640, Recon Loss: 31.5551, KLD Loss: 10.3089, Val Loss: 56.7907
Epoch 1780, Loss: 18.5532, Recon Loss: 8.1640, KLD Loss: 10.3892, Val Loss: 28.1724
Epoch 1790, Loss: 18.5384, Recon Loss: 8.0864, KLD Loss: 10.4520, Val Loss: 27.5233
Epoch 1800, Loss: 19.0888, Recon Loss: 8.8382, KLD Loss: 10.2505, Val Loss: 27.9136
Epoch 1810, Loss: 19.1775, Recon Loss: 8.6232, KLD Loss: 10.5544, Val Loss: 29.0994
Epoch 1820, Loss: 19.0852, Recon Loss: 8.8596, KLD Loss: 10.2256, Val Loss: 28.9683
Epoch 1830, Loss: 18.4114, Recon Loss: 7.8935, KLD Loss: 10.5180, Val Loss: 27.8245
Epoch 1840, Loss: 18.2926, Recon Loss: 7.9819, KLD Loss: 10.3107, Val Loss: 28.3326
Epoch 1850, Loss: 18.6262, Recon Loss: 8.2168, KLD Loss: 10.4094, Val Loss: 29.0945
Epoch 1860, Loss: 23.5567, Recon Loss: 13.1419, KLD Loss: 10.4148, Val Loss: 31.8029
Epoch 1870, Loss: 18.4630, Recon Loss: 7.9781, KLD Loss: 10.4849, Val Loss: 29.8068
Epoch 1880, Loss: 18.4538, Recon Loss: 7.8904, KLD Loss: 10.5634, Val Loss: 28.6356
Epoch 1890, Loss: 18.7266, Recon Loss: 8.2042, KLD Loss: 10.5224, Val Loss: 28.0418
Epoch 1900, Loss: 18.5891, Recon Loss: 8.0759, KLD Loss: 10.5132, Val Loss: 29.9111
Epoch 1910, Loss: 18.9895, Recon Loss: 8.4405, KLD Loss: 10.5490, Val Loss: 29.6162
Epoch 1920, Loss: 18.5013, Recon Loss: 8.2197, KLD Loss: 10.2816, Val Loss: 28.1369
Epoch 1930, Loss: 18.8785, Recon Loss: 8.3430, KLD Loss: 10.5355, Val Loss: 28.7535
Epoch 1940, Loss: 18.4142, Recon Loss: 8.0677, KLD Loss: 10.3464, Val Loss: 27.8584
Epoch 1950, Loss: 18.3527, Recon Loss: 7.8513, KLD Loss: 10.5013, Val Loss: 30.5327
Epoch 1960, Loss: 18.4908, Recon Loss: 8.1760, KLD Loss: 10.3148, Val Loss: 28.8752
Epoch 1970, Loss: 18.6341, Recon Loss: 8.1036, KLD Loss: 10.5305, Val Loss: 28.6613
Epoch 1980, Loss: 19.7313, Recon Loss: 9.3907, KLD Loss: 10.3406, Val Loss: 29.2743
Epoch 1990, Loss: 17.9185, Recon Loss: 7.6670, KLD Loss: 10.2514, Val Loss: 28.3153
Epoch 2000, Loss: 18.5480, Recon Loss: 8.3100, KLD Loss: 10.2379, Val Loss: 29.1058
