 16%|████████████████████████▊                                                                                                                                       | 310/2000 [46:01<4:08:12,  8.81s/it]
Epoch 1731, Loss: 0.878726535721829, MSE Loss: 0.8787254440157037, KLD Loss: 1.094843211926912e-06
Epoch 1741, Loss: 0.8785348346358851, MSE Loss: 0.8785337241072404, KLD Loss: 1.1089601014789782e-06
Epoch 1751, Loss: 0.879351324156711, MSE Loss: 0.8793502920552304, KLD Loss: 1.0258273074501438e-06
Epoch 1761, Loss: 0.8789333701133728, MSE Loss: 0.8789322438992953, KLD Loss: 1.1277826208817332e-06
Epoch 1771, Loss: 0.8791470245311135, MSE Loss: 0.8791459328249881, KLD Loss: 1.097980298494038e-06
Epoch 1781, Loss: 0.8801287820464686, MSE Loss: 0.8801278942509702, KLD Loss: 8.909325850637336e-07
Epoch 1791, Loss: 0.879585021420529, MSE Loss: 0.8795840551978663, KLD Loss: 9.583799462569387e-07
Epoch 1801, Loss: 0.8788777432943645, MSE Loss: 0.8788766359028063, KLD Loss: 1.112097188046104e-06
Epoch 1811, Loss: 0.8795650852353949, MSE Loss: 0.8795640186259621, KLD Loss: 1.0713150626734683e-06
Epoch 1821, Loss: 0.8788554417459589, MSE Loss: 0.8788545319908544, KLD Loss: 9.144607343171773e-07
Epoch 1831, Loss: 0.8794816544181422, MSE Loss: 0.8794806913325661, KLD Loss: 9.677912059583162e-07
Epoch 1841, Loss: 0.8795722534782008, MSE Loss: 0.8795713217634904, KLD Loss: 9.36420340287058e-07
Epoch 1851, Loss: 0.8804005227590862, MSE Loss: 0.8803995910443758, KLD Loss: 9.348517970034951e-07
Epoch 1861, Loss: 0.8789315160952116, MSE Loss: 0.8789303804698744, KLD Loss: 1.1324882507324219e-06
Epoch 1871, Loss: 0.8796011334971378, MSE Loss: 0.8796000480651855, KLD Loss: 1.0807263223748458e-06
Epoch 1881, Loss: 0.8798515263356661, MSE Loss: 0.8798506228547347, KLD Loss: 8.940696716308594e-07
Epoch 1891, Loss: 0.8799456483439395, MSE Loss: 0.8799447480000948, KLD Loss: 9.050494746157997e-07
Epoch 1901, Loss: 0.8784797724924589, MSE Loss: 0.8784788564631814, KLD Loss: 9.097551044664885e-07
Epoch 1911, Loss: 0.8800402534635443, MSE Loss: 0.8800393750793055, KLD Loss: 8.752471522281044e-07
Epoch 1921, Loss: 0.8812969923019409, MSE Loss: 0.8812959100070753, KLD Loss: 1.0760206925241572e-06
Epoch 1931, Loss: 0.8789624477687635, MSE Loss: 0.8789613748851576, KLD Loss: 1.0760206925241572e-06
Epoch 1941, Loss: 0.8798477241867467, MSE Loss: 0.8798467548269975, KLD Loss: 9.677912059583162e-07
Epoch 1951, Loss: 0.8795542403271324, MSE Loss: 0.879553314886595, KLD Loss: 9.317147104363693e-07
Epoch 1961, Loss: 0.8795499331072757, MSE Loss: 0.879548944925007, KLD Loss: 9.928878984953228e-07
Epoch 1971, Loss: 0.8798719142612658, MSE Loss: 0.8798709041193912, KLD Loss: 1.005436244763826e-06
Epoch 1981, Loss: 0.8797653066484552, MSE Loss: 0.8797643278774462, KLD Loss: 9.850451820775083e-07
Epoch 1991, Loss: 0.8796616102519789, MSE Loss: 0.8796605844246713, KLD Loss: 1.0305329373008327e-06
